User_ID,Full_name,Gender,Email,Phone,Library_Card_Number,Registration_Date,Expiration_Date,Classes_ID,Salary,
TC_C31,THERESA RAMOS,F,THERESARAMOS@gmail.com,+84 0372985585,TC31,42224,45584,IDSPM1,13193135,
TC_C32,DENISE STONE,F,DENISESTONE@gmail.com,+84 0495727376,TC32,42190,45573,SCMAM1,12108182,
TC_C33,JAIME NATH,M,JAIMENATH@gmail.com,+84 0495035719,TC33,42282,45360,MAPM1,17989900,
TC_C34,EBONY GONZALEZ,F,EBONYGONZALEZ@gmail.com,+84 0911038330,TC34,42046,45330,SQLAM1,22260136,
TC_C35,WENDY DOMINGUEZ,NA,WENDYDOMINGUEZ@gmail.com,+84 0448131066,TC35,42241,45583,IBAPM1,15727083,
TC_C36,JENNIFER RUSSELL,F,JENNIFERRUSSELL@gmail.com,+84 0689687401,TC36,42147,45339,EXCPM1,10948996,
TC_C37,CHLOE GARCIA,F,CHLOEGARCIA@gmail.com,+84 0758378792,TC37,42082,45347,BADPM1,9595426,
TC_C38,DIANA HERNANDEZ,F,DIANAHERNANDEZ@gmail.com,+84 0416555002,TC38,42264,45484,DWLPM1,9607837,
TC_C39,MARC MARTIN,M,MARCMARTIN@gmail.com,+84 0779363018,TC39,42232,45392,PYCAM1,17962901,
TC_C40,JESSE MURPHY,M,JESSEMURPHY@gmail.com,+84 0724399504,TC40,42135,45359,PSQPM1,9563111,
TC_C41,AMANDA CARTER,F,AMANDACARTER@gmail.com,+84 0932276026,TC41,42046,45386,SCMAM1,16205843,
TC_C42,MEGAN SANCHEZ,F,MEGANSANCHEZ@gmail.com,+84 0336270390,TC42,42016,45391,IDSPM1,18273499,
TC_C43,NATHAN SIMMONS,M,NATHANSIMMONS@gmail.com,+84 0761429526,TC43,42099,45490,PBIPM1,15775004,
TC_C44,ADAM FLORES,M,ADAMFLORES@gmail.com,+84 0410458774,TC44,42189,45385,IBAPM1,21295556,
TC_C45,LEONARD NARA,M,LEONARDNARA@gmail.com,+84 0339624005,TC45,42108,45333,SCSPM1,16836796,
TC_C46,CHRISTINE YUAN,F,CHRISTINEYUAN@gmail.com,+84 0986871394,TC46,42097,45518,PSQPM1,24531327,
TC_C47,JACLYN LU,F,JACLYNLU@gmail.com,+84 0971572081,TC47,42281,45546,BADPM1,24947717,
TC_C48,JEREMY POWELL,M,JEREMYPOWELL@gmail.com,+84 0733068106,TC48,42228,45423,PSQPM1,21378722,
TC_C49,CAROL RAI,F,CAROLRAI@gmail.com,+84 0695029427,TC49,42056,45334,PYBPM1,20150522,
TC_C50,ALAN ZHENG,M,ALANZHENG@gmail.com,+84 0684726260,TC50,42126,45359,PSQPM1,17480407,
TC_C51,DANIEL JOHNSON,M,DANIELJOHNSON@gmail.com,+84 0389295984,TC51,42116,45361,PYCAM1,20470274,
TC_C52,HEIDI LOPEZ,F,HEIDILOPEZ@gmail.com,+84 0613661171,TC52,42137,45304,EXCPM1,23541789,
TC_C53,ANA PRICE,F,ANAPRICE@gmail.com,+84 0661036253,TC53,42302,45571,BADPM1,14523920,
TC_C54,DEANNA MUNOZ,F,DEANNAMUNOZ@gmail.com,+84 0729572505,TC54,42256,45489,PBIPM1,20067203,
TC_C55,GILBERT RAJE,M,GILBERTRAJE@gmail.com,+84 0979782865,TC55,42137,45323,SQLAM1,19125731,
TC_C56,MICHELE NATH,F,MICHELENATH@gmail.com,+84 0410588981,TC56,42230,45450,VBAPM1,17575281,
TC_C57,CARL ANDERSEN,M,CARLANDERSEN@gmail.com,+84 0940823677,TC57,42238,45355,BUSAM1,15762432,
TC_C58,MARC DIAZ,M,MARCDIAZ@gmail.com,+84 0488915396,TC58,42105,45295,SCSPM1,8037216,
TC_C59,ASHLEE ANDERSEN,F,ASHLEEANDERSEN@gmail.com,+84 0794335289,TC59,42180,45415,MASPM1,8979040,
TC_C60,JON ZHOU,M,JONZHOU@gmail.com,+84 0733624844,TC60,42148,45331,SCMAM1,15386671,
TC_C61,TODD GAO,M,TODDGAO@gmail.com,+84 0842460777,TC61,42232,45344,PYCAM1,10246642,
TC_C62,NOAH POWELL,M,NOAHPOWELL@gmail.com,+84 0587648600,TC62,42098,45292,EXCPM1,13702318,
TC_C63,ANGELA MURPHY,F,ANGELAMURPHY@gmail.com,+84 0412684644,TC63,42289,45505,PSQPM1,19311628,
TC_C64,CHASE REED,M,CHASEREED@gmail.com,+84 0423688925,TC64,42279,45366,BUSAM1,11924870,
TC_C65,JESSICA HENDERSON,F,JESSICAHENDERSON@gmail.com,+84 0973051565,TC65,42188,45586,DWLPM1,22208732,
TC_C66,GRACE BUTLER,F,GRACEBUTLER@gmail.com,+84 0967910878,TC66,42283,45480,DWLPM1,15440152,
TC_C67,CALEB CARTER,M,CALEBCARTER@gmail.com,+84 0655390357,TC67,42249,45419,PSQPM1,22072415,
TC_C68,TIFFANY LIANG,F,TIFFANYLIANG@gmail.com,+84 0910623718,TC68,42048,45386,EXCPM1,18093301,
TC_C69,CAROLYN NAVARRO,F,CAROLYNNAVARRO@gmail.com,+84 0693988565,TC69,42009,45510,EXCPM1,8982322,
TC_C70,WILLIE RAJI,M,WILLIERAJI@gmail.com,+84 0858360198,TC70,42289,45425,PYBPM1,19983239,
TC_C71,LINDA SERRANO,F,LINDASERRANO@gmail.com,+84 0615136771,TC71,42089,45301,SCSPM1,14518938,
TC_C72,CASEY LUO,F,CASEYLUO@gmail.com,+84 0965825259,TC72,42074,45338,SCSPM1,10160964,
TC_C73,AMY YE,F,AMYYE@gmail.com,+84 0783073766,TC73,42149,45425,SCMAM1,13483629,
TC_C74,LEVI ARUN,M,LEVIARUN@gmail.com,+84 0851243270,TC74,42130,45445,SCMAM1,12452201,
TC_C75,FELICIA JIMENEZ,F,FELICIAJIMENEZ@gmail.com,+84 0566458269,TC75,42075,45428,PSQPM1,11266922,
TC_C76,BLAKE ANDERSON,M,BLAKEANDERSON@gmail.com,+84 0338955241,TC76,42126,45553,MAPM1,18758680,
TC_C77,LEAH YE,F,LEAHYE@gmail.com,+84 0519015378,TC77,42066,45338,PBIPM1,20263613,
TC_C78,GINA MARTIN,F,GINAMARTIN@gmail.com,+84 0922797329,TC78,42018,45426,PYBPM1,8202028,
TC_C79,DONALD GONZALEZ,M,DONALDGONZALEZ@gmail.com,+84 0436686651,TC79,42055,45418,PBIPM1,16617167,
TC_C80,DAMIEN CHANDER,M,DAMIENCHANDER@gmail.com,+84 0365640986,TC80,42294,45518,PYCAM1,13643227,
TC_C81,SAVANNAH BAKER,F,SAVANNAHBAKER@gmail.com,+84 0327126239,TC81,42228,45425,SCMAM1,16426678,
TC_C82,ANGELA BUTLER,NA,ANGELABUTLER@gmail.com,+84 0697160753,TC82,42168,45436,IDSPM1,22001605,
TC_C83,ALYSSA COX,F,ALYSSACOX@gmail.com,+84 0677449776,TC83,42149,45481,DWLPM1,8824255,
TC_C84,LUCAS PHILLIPS,M,LUCASPHILLIPS@gmail.com,+84 0455114719,TC84,42250,45339,PBIPM1,21623568,
TC_C85,EMILY JOHNSON,F,EMILYJOHNSON@gmail.com,+84 0544523631,TC85,42230,45450,MAPM1,9763327,
TC_C86,RYAN BROWN,M,RYANBROWN@gmail.com,+84 0532756123,TC86,42163,45302,IDSPM1,23425129,
TC_C87,TAMARA LIANG,F,TAMARALIANG@gmail.com,+84 0665897063,TC87,42197,45436,BUSAM1,17298084,
TC_C88,ABIGAIL PRICE,F,ABIGAILPRICE@gmail.com,+84 0754677475,TC88,42006,45465,BUSAM1,20137598,
TC_C89,TREVOR BRYANT,M,TREVORBRYANT@gmail.com,+84 0828573260,TC89,42072,45307,SQLAM1,15448196,
TC_C90,DALTON PEREZ,M,DALTONPEREZ@gmail.com,+84 0842518753,TC90,42146,45591,SCSPM1,14124907,
TC_C91,CHERYL DIAZ,F,CHERYLDIAZ@gmail.com,+84 0761794855,TC91,42233,45455,PYCAM1,13149637,
TC_C92,AIMEE HE,F,AIMEEHE@gmail.com,+84 0757740656,TC92,42224,45497,BUSAM1,16439202,
TC_C93,CEDRIC MA,M,CEDRICMA@gmail.com,+84 0311576880,TC93,42040,45579,PSQPM1,18002856,
TC_C94,CHAD KUMAR,M,CHADKUMAR@gmail.com,+84 0332916569,TC94,42050,45416,SCSPM1,17175473,
TC_C95,ANDRÉS ANAND,M,ANDRÉSANAND@gmail.com,+84 0798739345,TC95,42120,45436,PYBPM1,24066781,
TC_C96,EDWIN NARA,M,EDWINNARA@gmail.com,+84 0849971627,TC96,42113,45384,SCMAM1,15096616,
TC_C97,MALLORY RUBIO,F,MALLORYRUBIO@gmail.com,+84 0931850872,TC97,42150,45332,PSQPM1,16335329,
TC_C98,ADAM ROSS,M,ADAMROSS@gmail.com,+84 0485122659,TC98,42266,45335,DWLPM1,16478227,
TC_C99,LATASHA NAVARRO,F,LATASHANAVARRO@gmail.com,+84 0591518251,TC99,42200,45388,DWLPM1,22882110,
